conv spk part sid chno starttime endtime seg.id wavfile
AlGore_2006 AG AG 178 NA 670.39 673.46 AlGore_2006.AG.p.56.seg.203 AlGore_2006-light.wav
AlGore_2006 AG AG 179 NA 673.62 675.15 AlGore_2006.AG.p.56.seg.204 AlGore_2006-light.wav
AlGore_2006 AG AG 180 NA 675.18 676.91 AlGore_2006.AG.p.56.seg.205 AlGore_2006-light.wav
AlGore_2006 AG AG 181 NA 678.63 682.79 AlGore_2006.AG.p.56.seg.206 AlGore_2006-light.wav
AlGore_2006 AG AG 182 NA 682.79 684.59 AlGore_2006.AG.p.56.seg.207 AlGore_2006-light.wav
AlGore_2006 AG AG 183 NA 684.59 687.79 AlGore_2006.AG.p.56.seg.208 AlGore_2006-light.wav
AlGore_2006 AG AG 184 NA 688.31 690.12 AlGore_2006.AG.p.56.seg.209 AlGore_2006-light.wav
AlGore_2006 AG AG 185 NA 690.45 691.88 AlGore_2006.AG.p.56.seg.210 AlGore_2006-light.wav
AlGore_2006 AG AG 186 NA 692.62 699.45 AlGore_2006.AG.p.56.seg.211 AlGore_2006-light.wav
AlGore_2006 AG AG 187 NA 699.45 701.8 AlGore_2006.AG.p.56.seg.212 AlGore_2006-light.wav
AlGore_2006 AG AG 188 NA 702.14 706.83 AlGore_2006.AG.p.56.seg.213 AlGore_2006-light.wav
AlGore_2006 AG AG 189 NA 708.15 710.37 AlGore_2006.AG.p.56.seg.214 AlGore_2006-light.wav
AlGore_2006 AG AG 190 NA 712.14 715.45 AlGore_2006.AG.p.56.seg.215 AlGore_2006-light.wav
AlGore_2006 AG AG 191 NA 715.48 719.85 AlGore_2006.AG.p.56.seg.216 AlGore_2006-light.wav
AlGore_2006 AG AG 192 NA 720.05 721.81 AlGore_2006.AG.p.56.seg.217 AlGore_2006-light.wav
AlGore_2006 AG AG 193 NA 722.07 724.25 AlGore_2006.AG.p.56.seg.218 AlGore_2006-light.wav
AlGore_2006 AG AG 194 NA 726.38 727.73 AlGore_2006.AG.p.56.seg.219 AlGore_2006-light.wav
AlGore_2006 AG AG 195 NA 727.88 729.53 AlGore_2006.AG.p.57.seg.220 AlGore_2006-light.wav
AlGore_2006 AG AG 196 NA 729.71 733.15 AlGore_2006.AG.p.57.seg.221 AlGore_2006-light.wav
AlGore_2006 AG AG 197 NA 734.65 738.02 AlGore_2006.AG.p.57.seg.222 AlGore_2006-light.wav
AlGore_2006 AG AG 198 NA 738.05 740.59 AlGore_2006.AG.p.57.seg.223 AlGore_2006-light.wav
AlGore_2006 AG AG 199 NA 742.02 743.97 AlGore_2006.AG.p.57.seg.224 AlGore_2006-light.wav
AlGore_2006 AG AG 200 NA 744.83 748.27 AlGore_2006.AG.p.57.seg.225 AlGore_2006-light.wav
AlGore_2006 AG AG 201 NA 750.47 753.86 AlGore_2006.AG.p.57.seg.226 AlGore_2006-light.wav
AlGore_2006 AG AG 202 NA 754.79 755.5 AlGore_2006.AG.p.57.seg.227 AlGore_2006-light.wav
AlGore_2006 AG AG 203 NA 756.79 760.68 AlGore_2006.AG.p.57.seg.228 AlGore_2006-light.wav
AlGore_2006 AG AG 204 NA 761.21 765.9 AlGore_2006.AG.p.57.seg.229 AlGore_2006-light.wav
AlGore_2006 AG AG 205 NA 765.9 767.46 AlGore_2006.AG.p.57.seg.230 AlGore_2006-light.wav
AlGore_2006 AG AG 206 NA 767.46 770.82 AlGore_2006.AG.p.57.seg.231 AlGore_2006-light.wav
AlGore_2006 AG AG 207 NA 770.82 772.16 AlGore_2006.AG.p.57.seg.232 AlGore_2006-light.wav
AlGore_2006 AG AG 208 NA 772.44 776.47 AlGore_2006.AG.p.57.seg.233 AlGore_2006-light.wav
AlGore_2006 AG AG 209 NA 777.08 780.74 AlGore_2006.AG.p.57.seg.234 AlGore_2006-light.wav
AlGore_2006 AG AG 210 NA 780.74 783.21 AlGore_2006.AG.p.57.seg.235 AlGore_2006-light.wav
AlGore_2006 AG AG 211 NA 783.21 785.36 AlGore_2006.AG.p.57.seg.236 AlGore_2006-light.wav
AlGore_2006 AG AG 212 NA 785.36 790.01 AlGore_2006.AG.p.57.seg.237 AlGore_2006-light.wav
AlGore_2006 AG AG 213 NA 790.01 792.57 AlGore_2006.AG.p.57.seg.238 AlGore_2006-light.wav
AlGore_2006 AG AG 214 NA 792.98 796.92 AlGore_2006.AG.p.57.seg.239 AlGore_2006-light.wav
AlGore_2006 AG AG 215 NA 796.96 801.74 AlGore_2006.AG.p.57.seg.240 AlGore_2006-light.wav
AlGore_2006 AG AG 216 NA 801.78 806.51 AlGore_2006.AG.p.57.seg.241 AlGore_2006-light.wav
AlGore_2006 AG AG 217 NA 810.54 812 AlGore_2006.AG.p.59.seg.243 AlGore_2006-light.wav
AlGore_2006 AG AG 218 NA 812 813.84 AlGore_2006.AG.p.59.seg.244 AlGore_2006-light.wav
AlGore_2006 AG AG 219 NA 814.07 814.72 AlGore_2006.AG.p.59.seg.245 AlGore_2006-light.wav
AlGore_2006 AG AG 220 NA 814.72 818.49 AlGore_2006.AG.p.59.seg.246 AlGore_2006-light.wav
AlGore_2006 AG AG 221 NA 819.26 820.7 AlGore_2006.AG.p.59.seg.247 AlGore_2006-light.wav
